Category(2),Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,FatMonosaturated Fat,FatPolysaturated Fat,FatSaturated Fat,FatTotal Lipid,Major MineralsCalcium,Major MineralsCopper,Major MineralsIron,Major MineralsMagnesium,Major MineralsPhosphorus,Major MineralsPotassium,Major MineralsSodium,Major MineralsZinc,VitaminsVitamin A - RAE,VitaminsVitamin B12,VitaminsVitamin B6,VitaminsVitamin C,VitaminsVitamin E,VitaminsVitamin K
Milk,"Milk, whole",11111000,0,7,0,4.67,12,17.8,0,0,0,0.105,3.28,31,0.138,1.9,4.81,0.056,88.1,0.688,0.108,1.86,3.2,123,0.001,0,12,101,150,38,0.41,32,0.54,0.061,0,0.05,0.3
Buttermilk,"Buttermilk, whole",11115300,0,7,0,4.88,11,14.6,0,0,0,0.09,3.21,46,0.172,3.7,4.88,0.047,87.91,0.827,0.198,1.899,3.31,115,0.025,0.03,10,85,135,105,0.38,47,0.46,0.036,0,0.07,0.3
Goat's milk,"Goat's milk, whole",11116000,0,7,0,4.45,11,16,0,0,0,0.277,3.56,56,0.138,1.4,4.45,0.048,87.03,1.109,0.149,2.667,4.14,134,0.046,0.05,14,111,204,50,0.3,57,0.07,0.046,1.3,0.07,0.3
Soy milk,Soy milk,11320000,0,2,0,4.92,0,23.6,0.2,0,0,0.425,2.6,55,0.184,2.3,3.65,0.029,90.36,0.382,0.858,0.205,1.47,123,0.165,0.42,15,43,122,47,0.26,55,0.85,0.031,0,0.11,3
Almond milk,"Almond milk, sweetened",11350000,0,0,0,5.24,0,3,0.2,0,0,0.067,0.38,86,0.01,0.1,4.77,0,92.68,0.566,0.23,0.077,0.93,177,0.019,0.27,6,9,64,69,0.06,86,0,0,0,2.7,0
Rice milk,Rice milk,11360000,0,0,0,9.17,0,2.1,0.3,0,0,0.39,0.28,63,0.142,2.2,5.28,0.027,89.28,0.625,0.313,0,0.97,118,0.037,0.2,11,56,27,39,0.13,63,0.63,0.039,0,0.47,0.2
Coconut milk,Coconut milk,11370000,0,0,0,2.92,0,0,0,0,0,0,0.21,63,0,0,2.5,0,94.57,0,0,2.083,2.08,188,0,0.3,0,0,19,19,0,63,0.63,0,0,0,0
Yogurt,"Yogurt, NFS",11400000,0,2,0,7.04,6,15.2,0,0,0,0.114,5.25,14,0.214,3.3,7.04,0.044,85.06,0.426,0.044,1,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.03,0.2
Cheese,"Cheese, NFS",14010000,0,99,9,5,91,24.2,0,24,0,0.099,20.42,289,0.435,23.5,2.69,0.033,39.99,6.726,1.104,16.692,29.62,974,0.031,0.48,30,582,164,904,3.09,298,1.24,0.091,0,0.79,2.7
Mozzarella cheese,"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",14670000,60,358,1,3.86,18,8,0.8,238,1523,0.406,7.17,56,0.113,7.6,2.32,0.029,76.67,2.812,2.716,4.18,10.87,203,0.056,0.31,16,163,182,209,1.13,89,0.46,0.077,8.6,0.95,27.2
Ground meat,"Ground meat, NFS",20000200,0,0,0,0,87,80.2,0,0,0,5.07,25.54,3,0.175,21.3,0,0.047,56.32,7.497,0.495,6.453,16.82,24,0.08,2.47,20,192,302,396,6.2,3,2.7,0.364,0,0.12,1.7
Beef,"Beef, NS as to cut, cooked, NS as to fat eaten",21000100,0,0,0,0,81,93,0,0,0,7.908,29.23,1,0.237,33.7,0,0.082,62.46,2.926,0.333,2.643,6.75,16,0.083,2.38,23,238,371,387,5.77,1,1.98,0.676,0,0.3,1.5
